Respondent,InterviewDuration,RandVar,S1,Q01,Q02,Q03,Q04,Q05,Q06Num,Q07Num,Q06,Q06a,Q06b,Q06b_TXT,Q06c,Q07,Q07a,Q07bNum,Q07cNum,Q07b,Q07c,Q07d,Q07d_TXT,Q08,Q08b,Q08b_TXT,Q09Var,Q09varA,Q09varB,Q09varC,Q10Var,Q10varA,Q10varB,Q10varC,Q11Var,Q11varA,Q11varB,Q11varC,Q12Var,Q12varA,Q12varB,Q12varC,Q09,Q10,Q11,Q12,Q12b,Q13,Q14,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_80,Q17_TXT,Q18,Q19,Q20,Q21,Q22,Q23,Q24a,Q24,Q25,Q26,Q26_TXT
209,511,1,Yes,Female,40-55,21-49 miles,03-May,Little knowledge,100,10,No,Very sure,,£100 is far too much to ask for particularly at this time where most of us have less money because of coronavirus,Quite sure,Yes,Very sure,20,,Yes,Question skipped,,,Option A,,I would not want to pay £5 more for a product with limited effectiveness no thank you,2,50%,90%,£1,4,5%,10%,£1,3,10%,90%,£5,4,5%,10%,£5,Option A,Option B,Option A,Option A,Very sure,2,2,4,All of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,Yes,Average knowledge,Yes,4,A level or college equivalent,"Not in education, employment or training",Yes,£1501-£2000,9,Chosen,No further comments
210,337,1,Yes,Male,40-55,0-2 miles,6+,Average knowledge,80,40,Yes,Very sure,,,Question skipped,Yes,Very sure,80,,Yes,Question skipped,,,Option A,,There was no difference in the containment of microplastics yet Option B was more expensive,3,5%,10%,£5,3,5%,40%,£0.50,1,5%,90%,£2.50,4,5%,10%,£5,Option B,Option B,Option B,Option B,Quite sure,4,5 – Completely agree,4,None of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Good knowledge,Yes,4,GCSE’s / O levels,Self-employed,Yes,£1501-£2000,10 - Perfectly clear,,"I really enjoyed this survey, it was clear and concise and also i felt that my knowledge of microplastics has improved Thank you!"
211,514,1,Yes,Male,56-70,50+ miles,01-Feb,Little knowledge,40,100,No,Very sure,,"As I said before, the problem should be resolved by and any costs paid for by the companies responsible",Very sure,No,Very sure,,50,Question skipped,No,,It is incumbent on the producers of these plastics to prevent further pollution and help solve the existing problem.,Option A,,Option B seemed pointless,1,50%,40%,£5,2,5%,40%,£2.50,4,5%,90%,£0.50,2,50%,10%,£2.50,Option A,Option B,Option B,Option A,Very sure,3,4,5 – Completely agree,All of it,Chosen,Chosen,Chosen,Chosen,Chosen,All of us,No,Average knowledge,No,4,GCSE’s / O levels,Retired,No,£1501-£2000,7,Chosen,No further comments
212,254,2,Yes,Male,56-70,11-20 miles,03-May,Little knowledge,5,90,Yes,Quite sure,,,Question skipped,No,Quite sure,,45,Question skipped,Yes,,,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,2,5%,10%,£1,1,50%,10%,£0.50,Option A,Option B,Option B,Option A,Unsure,3,3,4,None of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Don’t know,3,Bachelor’s degree,Full-time employment,No,£5001+,6,Chosen,No further comments
213,455,2,Yes,Female,40-55,50+ miles,0,Average knowledge,40,80,Yes,Quite sure,,,Question skipped,No,Unsure,,40,Question skipped,Yes,,,Option A,,Because it doesn't seem to do much.,2,50%,90%,£1,2,5%,40%,£2.50,4,5%,90%,£0.50,4,5%,10%,£5,Option B,Option B,Option B,Option A,Quite sure,3,3,4,None of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Good knowledge,Don’t know,3,A level or college equivalent,Part-time employment,Yes,£3001-£4000,10 - Perfectly clear,Chosen,No further comments
214,308,1,Yes,Female,40-55,50+ miles,01-Feb,Little knowledge,80,90,No,Very sure,,there are more pressing research that need to be done,Very sure,No,Quite sure,,45,Question skipped,No,,"i think its too much, surely if everyone was paying it wouldn't cost that much",Option A,,The other option was too extreme,3,5%,10%,£5,3,5%,40%,£0.50,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option B,Option A,Option A,Very sure,2,3,4,All of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Good knowledge,Yes,4,Bachelor’s degree,Self-employed,No,£1501-£2000,10 - Perfectly clear,Chosen,No further comments
215,532,1,Yes,Female,40-55,50+ miles,03-May,Little knowledge,5,10,No,Quite sure,,We don't need  research with no action. We know micro plastics have a negative impact do I would rather pay for something that would actually make a difference,Very sure,Yes,Quite sure,20,,Yes,Question skipped,,,Option B,,"Personally, I would prefer less of an impact on the environment even if it meant price increases",2,50%,90%,£1,1,10%,10%,£0.50,4,5%,90%,£0.50,4,5%,10%,£5,Option B,Option B,Option B,Option B,Quite sure,5 – Completely agree,4,5 – Completely agree,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Don’t know,4,A level or college equivalent,Part-time employment,Yes,£501-£1000,9,Not chosen,
217,501,1,Yes,Female,40-55,50+ miles,01-Feb,Little knowledge,60,90,No,Unsure,,Research could be wrong and take a long time with no results.,Unsure,Yes,Quite sure,180,,No,Question skipped,,,Option A,Chosen,Don't know,2,50%,90%,£1,2,5%,40%,£2.50,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option A,Option B,Option A,Quite sure,3,3,3,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Don’t know,3,GCSE’s / O levels,Full-time employment,Yes,£501-£1000,9,Chosen,No further comments
218,431,2,Yes,Male,26-39,50+ miles,03-May,Good knowledge,90,100,Yes,Very sure,,,Question skipped,Yes,Very sure,200,,Yes,Question skipped,,,Option B,,its a great product,3,5%,10%,£5,3,5%,40%,£0.50,4,5%,90%,£0.50,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,3,5 – Completely agree,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,Yes,Little knowledge,Yes,5 – Very confident,GCSE’s / O levels,Full-time employment,No,£2501-£3000,10 - Perfectly clear,,its a good survey
219,548,2,Yes,Male,56-70,0-2 miles,03-May,No knowledge,60,20,No,Very sure,,Don't believe that ordinary people should have to pay for the research that should be already being done.,Very sure,No,Very sure,,10,Question skipped,No,,Not down to me to pay for what should already be being done.,Option A,,Not willing to pay more for possible future benefits,2,50%,90%,£1,4,5%,10%,£1,2,5%,10%,£1,1,50%,10%,£0.50,Option A,Option A,Option A,Option A,Very sure,3,3,3,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,3,GCSE’s / O levels,"Not in education, employment or training",No,£1001-£1500,10 - Perfectly clear,Chosen,No further comments
220,423,2,Yes,Female,56-70,3-10 miles,01-Feb,Little knowledge,80,60,Yes,Quite sure,,,Question skipped,Yes,Very sure,120,,Yes,Question skipped,,,Option B,,This option would protect the environment,3,5%,10%,£5,3,5%,40%,£0.50,4,5%,90%,£0.50,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Quite sure,4,4,5 – Completely agree,None of it,Chosen,Not chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Don’t know,2,Bachelor’s degree,Retired,Yes,£1501-£2000,9,Chosen,No further comments
222,204,2,Yes,Female,18-25,3-10 miles,03-May,Strong knowledge,100,40,No,Quite sure,,It is a lot of money for a low income family,Quite sure,Yes,Quite sure,80,,No,Question skipped,,,Option A,,It is the same impact on the environment but better performance,2,50%,90%,£1,3,5%,40%,£0.50,3,10%,90%,£5,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Very sure,4,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Strong knowledge,Yes,4,Bachelor’s degree,"Not in education, employment or training",No,£1001-£1500,10 - Perfectly clear,,Love the concept of this survey
223,374,1,Yes,Female,56-70,50+ miles,6+,No knowledge,100,20,No,Very sure,Chosen,Don't know,Very sure,No,Very sure,,10,Question skipped,No,Chosen,Don't know,Option B,Chosen,Don't know,2,50%,90%,£1,2,5%,40%,£2.50,1,5%,90%,£2.50,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Very sure,1 – Completely disagree,1 – Completely disagree,1 – Completely disagree,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,No knowledge,No,5 – Very confident,GCSE’s / O levels,Full-time employment,No,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
224,505,2,Yes,Male,26-39,3-10 miles,03-May,Average knowledge,20,80,No,Unsure,,i don't money to,Quite sure,No,Quite sure,,40,Question skipped,Yes,,,Option B,Chosen,Don't know,2,50%,90%,£1,2,5%,40%,£2.50,1,5%,90%,£2.50,2,50%,10%,£2.50,Option B,Option B,Option A,Option B,Unsure,3,4,5 – Completely agree,Some of it,Chosen,Not chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Yes,3,A level or college equivalent,"Not in education, employment or training",No,£0-£500,8,Chosen,No further comments
226,1020,2,Yes,Female,40-55,11-20 miles,0,Average knowledge,90,80,Yes,Unsure,,,Question skipped,Yes,Unsure,160,,No,Question skipped,,,Option B,,if its saving the planet then why not,3,5%,10%,£5,3,5%,40%,£0.50,3,10%,90%,£5,4,5%,10%,£5,Option A,Option B,Option B,Option A,Quite sure,3,3,5 – Completely agree,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,4,GCSE’s / O levels,"Not in education, employment or training",No,£501-£1000,10 - Perfectly clear,Chosen,No further comments
227,233,2,Yes,Female,26-39,21-49 miles,01-Feb,Average knowledge,5,10,Yes,Very sure,,,Question skipped,Yes,Quite sure,20,,Yes,Question skipped,,,Option A,,Because I use personal care products on a daily basis.,4,10%,10%,£2.50,2,5%,40%,£2.50,3,10%,90%,£5,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,4,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Average knowledge,Yes,4,A level or college equivalent,Full-time employment,Yes,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
228,275,1,Yes,Male,18-25,Don’t know,01-Feb,Average knowledge,40,20,No,Very sure,Chosen,Don't know,Quite sure,No,Quite sure,,10,Question skipped,No,Chosen,Don't know,Option B,Chosen,Don't know,3,5%,10%,£5,4,5%,10%,£1,4,5%,90%,£0.50,1,50%,10%,£0.50,Option B,Option A,Option A,Option A,Very sure,2,4,3,Some of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,2,A level or college equivalent,Part-time employment,Prefer not to say,Prefer not to say,5,Chosen,No further comments
229,380,2,Yes,Male,56-70,11-20 miles,01-Feb,Average knowledge,5,60,Yes,Unsure,,,Question skipped,Yes,Quite sure,120,,No,Question skipped,,,Option B,Chosen,Don't know,2,50%,90%,£1,2,5%,40%,£2.50,4,5%,90%,£0.50,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Quite sure,4,5 – Completely agree,5 – Completely agree,Some of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Good knowledge,Yes,4,A level or college equivalent,Self-employed,Yes,£3001-£4000,10 - Perfectly clear,Chosen,No further comments
230,310,1,Yes,Female,40-55,3-10 miles,01-Feb,Average knowledge,40,20,No,Unsure,,my bill is expensive at the moment,Unsure,Yes,Unsure,40,,No,Question skipped,,,Option A,Chosen,Don't know,2,50%,90%,£1,2,5%,40%,£2.50,3,10%,90%,£5,4,5%,10%,£5,Option B,Option B,Option A,Option A,Quite sure,3,4,4,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,Don’t know,3,Bachelor’s degree,"Not in education, employment or training",Yes,£0-£500,8,Chosen,No further comments
232,349,1,Yes,Male,40-55,50+ miles,01-Feb,Good knowledge,100,10,No,Quite sure,,i already pay an awful lot for my water,Quite sure,Yes,Unsure,20,,No,Question skipped,,,Option A,,its the better option,3,5%,10%,£5,2,5%,40%,£2.50,1,5%,90%,£2.50,2,50%,10%,£2.50,Option A,Option A,Option B,Option A,Quite sure,3,3,4,None of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Good knowledge,No,3,Bachelor’s degree,Full-time employment,No,£4001-£5000,8,Chosen,No further comments
233,1054,2,Yes,Male,40-55,21-49 miles,01-Feb,Average knowledge,80,40,No,Quite sure,,"in this hard time, we don.t have any extra saving left that we can use.",Quite sure,Yes,Quite sure,80,,No,Question skipped,,,Option B,,environment friendly but will be less disposal income left,2,50%,90%,£1,3,5%,40%,£0.50,4,5%,90%,£0.50,4,5%,10%,£5,Option B,Option B,Option B,Option B,Quite sure,4,4,4,None of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Little knowledge,No,3,Postgraduate degree,Part-time employment,Yes,£1001-£1500,8,Chosen,No further comments
234,1070,2,Yes,Female,40-55,50+ miles,0,Average knowledge,60,40,No,Quite sure,,Can only just afford to cover our bills and groceries on present income and hardly ever have any left over so could not afford to do this even if we wanted to,Quite sure,No,Unsure,,20,Question skipped,Yes,,,Option A,,Very high price rise for option b and a big reduction in the effectiveness of the product,3,5%,10%,£5,2,5%,40%,£2.50,3,10%,90%,£5,4,5%,10%,£5,Option A,Option B,Option A,Option A,Unsure,3,3,5 – Completely agree,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Don’t know,3,GCSE’s / O levels,"Not in education, employment or training",No,£1001-£1500,10 - Perfectly clear,Chosen,No further comments
235,241,1,Yes,Male,40-55,50+ miles,01-Feb,Average knowledge,100,40,Yes,Quite sure,,,Question skipped,Yes,Quite sure,80,,No,Question skipped,,,Option B,,Best choice overall,3,5%,10%,£5,2,5%,40%,£2.50,4,5%,90%,£0.50,3,10%,40%,£1,Option B,Option B,Option B,Option B,Quite sure,4,4,3,Some of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,3,GCSE’s / O levels,Full-time employment,Yes,£501-£1000,9,Not chosen,
236,940,1,Yes,Male,40-55,3-10 miles,6+,Average knowledge,20,60,Yes,Quite sure,,,Question skipped,No,Very sure,,30,Question skipped,Yes,,,Option A,,no one will pay an extra £5 per product,1,50%,40%,£5,1,10%,10%,£0.50,3,10%,90%,£5,1,50%,10%,£0.50,Option A,Option B,Option A,Option B,Very sure,1 – Completely disagree,2,4,All of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Good knowledge,Don’t know,5 – Very confident,A level or college equivalent,Full-time employment,No,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
237,258,2,Yes,Male,18-25,21-49 miles,03-May,Little knowledge,40,20,No,Quite sure,Chosen,Don't know,Quite sure,Yes,Quite sure,40,,No,Question skipped,,,Option A,,there was too much product reduction in option b,2,50%,90%,£1,2,5%,40%,£2.50,2,5%,10%,£1,4,5%,10%,£5,Option B,Option B,Option B,Option B,Quite sure,2,3,4,Some of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Little knowledge,Yes,4,Bachelor’s degree,Full-time employment,No,£1501-£2000,8,Chosen,No further comments
238,303,2,Yes,Male,26-39,50+ miles,01-Feb,Average knowledge,20,20,No,Very sure,,cant afford to,Very sure,No,Very sure,,10,Question skipped,No,,cant fund this,Option A,Chosen,Don't know,2,50%,90%,£1,2,5%,40%,£2.50,3,10%,90%,£5,4,5%,10%,£5,Option A,Option A,Option A,Option A,Very sure,3,3,3,None of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,3,Bachelor’s degree,Full-time employment,No,£2001-£2500,7,Chosen,No further comments
239,308,1,Yes,Male,40-55,3-10 miles,0,Average knowledge,60,40,No,Very sure,,"as i said, it's the fault of the water companies, so they should pay,",Very sure,No,Very sure,,20,Question skipped,No,,"It's the fault of the water companies, so they should pay.",Option A,,cheaper,3,5%,10%,£5,1,10%,10%,£0.50,3,10%,90%,£5,3,10%,40%,£1,Option A,Option A,Option A,Option A,Very sure,1 – Completely disagree,1 – Completely disagree,1 – Completely disagree,All of it,Not chosen,Not chosen,Not chosen,Not chosen,Chosen,water companies,No,Average knowledge,No,3,A level or college equivalent,Full-time employment,Yes,£3001-£4000,7,Chosen,No further comments
242,189,2,Yes,Male,26-39,21-49 miles,01-Feb,Strong knowledge,40,100,Yes,Very sure,,,Question skipped,No,Quite sure,,50,Question skipped,Yes,,,Option A,,Just better to me,4,10%,10%,£2.50,3,5%,40%,£0.50,1,5%,90%,£2.50,3,10%,40%,£1,Option B,Option A,Option B,Option A,Very sure,5 – Completely agree,4,3,All of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Strong knowledge,Yes,5 – Very confident,Postgraduate degree,Full-time employment,Yes,£2501-£3000,10 - Perfectly clear,,Very good survey and topic
243,442,1,Yes,Female,26-39,21-49 miles,01-Feb,Little knowledge,20,20,Yes,Quite sure,,,Question skipped,Yes,Very sure,40,,Yes,Question skipped,,,Option A,,I don't want to pay more for a product that is poorer quality and not helping the environment in any way,3,5%,10%,£5,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option B,Option B,Option B,Quite sure,3,4,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Yes,2,Bachelor’s degree,Full-time employment,No,£1501-£2000,9,Chosen,No further comments
244,287,2,Yes,Female,40-55,50+ miles,6+,No knowledge,40,90,No,Very sure,,"BECAUSE ENOUGH ALREADY WITHOUT ADDING MORE TO THE BILL,THE WATER COMPANIES FUND THIS THEY MAKE ENOUGH MONEY OUT OF THEIR CUSTOMERS WITH THEIR HIGH CHARGES",Very sure,Yes,Very sure,180,,No,Question skipped,,,Option A,,IT DOESNT COST ANYTHING EXTRA,2,50%,90%,£1,1,10%,10%,£0.50,1,5%,90%,£2.50,3,10%,40%,£1,Option A,Option A,Option A,Option A,Very sure,1 – Completely disagree,1 – Completely disagree,3,None of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,No knowledge,Don’t know,3,GCSE’s / O levels,Self-employed,Yes,£5001+,10 - Perfectly clear,Chosen,No further comments
245,421,1,Yes,Male,18-25,50+ miles,01-Feb,Average knowledge,5,60,Yes,Quite sure,,,Question skipped,Yes,Very sure,120,,Yes,Question skipped,,,Option A,,I dont RealAudio know,1,50%,40%,£5,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option B,Option A,Option B,Option A,Quite sure,3,2,4,Some of it,Not chosen,Chosen,Chosen,Not chosen,Not chosen,,Yes,Little knowledge,Yes,3,Bachelor’s degree,Part-time employment,Yes,£2001-£2500,6,Not chosen,
246,501,1,Yes,Female,18-25,21-49 miles,0,Strong knowledge,10,100,No,Very sure,,"The evidence and research is already clear, there need to be more solutions, and solutions that do not solely fall on households when it is companies and the Ceo billionaires of those companies who are responsible",Very sure,No,Unsure,,50,Question skipped,Yes,,,Option A,,There's 0% reduction of emission,3,5%,10%,£5,4,5%,10%,£1,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option B,Option B,Option A,Very sure,4,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Not chosen,Chosen,Chosen,Not chosen,,Yes,Strong knowledge,Don’t know,4,Bachelor’s degree,Student,Yes,£2001-£2500,10 - Perfectly clear,Not chosen,
247,432,1,Yes,Female,18-25,11-20 miles,01-Feb,Little knowledge,60,5,No,Quite sure,,Low income family. £60 is quite alot,Very sure,Yes,Quite sure,10,,Yes,Question skipped,,,Option B,,Better overall,1,50%,40%,£5,4,5%,10%,£1,2,5%,10%,£1,4,5%,10%,£5,Option B,Option B,Option B,Option B,Quite sure,4,4,4,Some of it,Not chosen,Chosen,Chosen,Not chosen,Chosen,Companies,No,Little knowledge,No,4,A level or college equivalent,Part-time employment,Yes,£0-£500,9,,Could have a greater impact if you educate survey people about how they can buy products plastic free and be more ethical with packaging. Esp when concerning the bathroom
249,437,1,Yes,Male,56-70,Don’t know,01-Feb,Little knowledge,60,90,No,Very sure,,BECAUSE ON BENEFITS,Very sure,No,Very sure,,45,Question skipped,No,,BECAUSE ON BENEFITS,Option A,Chosen,Don't know,4,10%,10%,£2.50,1,10%,10%,£0.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Very sure,4,5 – Completely agree,5 – Completely agree,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Don’t know,3,Prefer not to say,"Not in education, employment or training",No,Prefer not to say,10 - Perfectly clear,Chosen,No further comments
250,392,2,Yes,Female,40-55,21-49 miles,6+,Little knowledge,80,100,No,Quite sure,,I can’t afford it at the moment,Very sure,No,Very sure,,50,Question skipped,Yes,,,Option B,,Seems good value for money,3,5%,10%,£5,3,5%,40%,£0.50,3,10%,90%,£5,4,5%,10%,£5,Option A,Option B,Option B,Option A,Very sure,3,4,5 – Completely agree,None of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Little knowledge,Yes,4,Bachelor’s degree,"Not in education, employment or training",Yes,£0-£500,7,Not chosen,
251,368,1,Yes,Male,40-55,50+ miles,01-Feb,Little knowledge,80,90,No,Very sure,,companies should use profits for research instead of paying share holder dividends and huge salartys to CEO's,Very sure,No,Very sure,,45,Question skipped,No,,"My sewerage company is Thames Water, they have an over paid CEO and pay too high share dividends, they should upgrade sewerage plants before making those payments, also they are one of the worst companies for fixing leaks and therefore,  waste far too much water. Before charging customers more, they should stop wasting water and their profits SIMPLES",Option A,,seems better,4,10%,10%,£2.50,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option A,Option A,Option A,Very sure,3,3,3,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,3,A level or college equivalent,Full-time employment,No,£5001+,10 - Perfectly clear,Chosen,No further comments
252,419,1,Yes,Female,26-39,21-49 miles,6+,Good knowledge,20,40,No,Quite sure,,I believe research should be supplemented by the government or the company profits not more from consumers,Very sure,Yes,Quite sure,80,,No,Question skipped,,,Option A,,No real benefits to b,3,5%,10%,£5,2,5%,40%,£2.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option B,Option B,Option B,Quite sure,4,4,4,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Good knowledge,Yes,3,Bachelor’s degree,Full-time employment,No,£1001-£1500,10 - Perfectly clear,Not chosen,
253,315,2,Yes,Male,26-39,50+ miles,01-Feb,Little knowledge,40,40,Yes,Quite sure,,,Question skipped,Yes,Quite sure,80,,Yes,Question skipped,,,Option B,,More beneficial for people and works out better in the long run,3,5%,10%,£5,2,5%,40%,£2.50,4,5%,90%,£0.50,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,4,4,4,None of it,Chosen,Not chosen,Chosen,Chosen,Not chosen,,Yes,Little knowledge,Yes,4,GCSE’s / O levels,Self-employed,Yes,£2001-£2500,7,Chosen,No further comments
254,347,2,Yes,Female,40-55,50+ miles,01-Feb,Good knowledge,5,20,Yes,Unsure,,,Question skipped,No,Quite sure,,10,Question skipped,Yes,,,Option B,,We'de rather make sacrifices.,3,5%,10%,£5,3,5%,40%,£0.50,3,10%,90%,£5,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Quite sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Good knowledge,Yes,3,Postgraduate degree,Full-time employment,Yes,£2001-£2500,9,Not chosen,
255,458,2,Yes,Male,56-70,0-2 miles,6+,Average knowledge,5,90,Yes,Very sure,,,Question skipped,Yes,Very sure,180,,Yes,Question skipped,,,Option A,,90% is too great a reduction in performance in my opinion.,1,50%,40%,£5,3,5%,40%,£0.50,1,5%,90%,£2.50,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Quite sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Average knowledge,Yes,5 – Very confident,Bachelor’s degree,Full-time employment,No,£3001-£4000,10 - Perfectly clear,Chosen,No further comments
256,256,2,Yes,Female,26-39,50+ miles,01-Feb,No knowledge,40,20,No,Quite sure,Chosen,Don't know,Quite sure,No,Unsure,,10,Question skipped,No,Chosen,Don't know,Option A,Chosen,Don't know,1,50%,40%,£5,2,5%,40%,£2.50,2,5%,10%,£1,4,5%,10%,£5,Option A,Option A,Option A,Option A,Unsure,3,3,3,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,3,GCSE’s / O levels,"Not in education, employment or training",No,Prefer not to say,5,Chosen,No further comments
258,263,1,Yes,Female,40-55,21-49 miles,03-May,Good knowledge,60,80,No,Very sure,,Because we struggle paying billd now,Very sure,No,Very sure,,40,Question skipped,No,,Because we struggle with the amount of billd we have to pay each month now anyway!,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,1,5%,90%,£2.50,3,10%,40%,£1,Option A,Option A,Option A,Option A,Very sure,3,4,4,Some of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Don’t know,3,A level or college equivalent,"Not in education, employment or training",Yes,£1001-£1500,10 - Perfectly clear,Chosen,No further comments
259,452,1,Yes,Male,56-70,11-20 miles,6+,Little knowledge,5,100,Yes,Very sure,,,Question skipped,No,Very sure,,50,Question skipped,No,,Where I live we have highest rates in UK so it isn't fair,Option A,Chosen,Don't know,4,10%,10%,£2.50,4,5%,10%,£1,3,10%,90%,£5,3,10%,40%,£1,Option B,Option B,Option A,Option B,Quite sure,1 – Completely disagree,1 – Completely disagree,3,Some of it,Not chosen,Not chosen,Not chosen,Chosen,Not chosen,,No,Average knowledge,Don’t know,5 – Very confident,A level or college equivalent,Retired,No,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
260,274,2,Yes,Male,40-55,3-10 miles,6+,Average knowledge,40,20,Yes,Quite sure,,,Question skipped,Yes,Quite sure,40,,Yes,Question skipped,,,Option A,,the performance decrease on option B,3,5%,10%,£5,4,5%,10%,£1,2,5%,10%,£1,4,5%,10%,£5,Option B,Option B,Option B,Option A,Quite sure,3,4,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Don’t know,4,Bachelor’s degree,Full-time employment,No,£3001-£4000,7,Chosen,No further comments
261,135,2,Yes,Female,26-39,50+ miles,0,No knowledge,90,80,No,Unsure,Chosen,Don't know,Unsure,No,Unsure,,40,Question skipped,No,Chosen,Don't know,Option A,Chosen,Don't know,3,5%,10%,£5,3,5%,40%,£0.50,3,10%,90%,£5,3,10%,40%,£1,Option B,Option B,Option B,Option B,Unsure,3,4,4,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,No knowledge,No,3,Bachelor’s degree,Part-time employment,Yes,Prefer not to say,6,Chosen,No further comments
263,587,2,Yes,Female,56-70,21-49 miles,6+,Good knowledge,80,90,Yes,Quite sure,,,Question skipped,Yes,Quite sure,180,,No,Question skipped,,,Option A,,It just appealed to me more,2,50%,90%,£1,3,5%,40%,£0.50,3,10%,90%,£5,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Unsure,4,4,5 – Completely agree,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Don’t know,1 – Very unconfident,GCSE’s / O levels,Full-time employment,No,£2501-£3000,5,Chosen,No further comments
